f02770 71666442776346624
f01248 68297676587794432
f09037 32132918084108288
f01782 30840442165657600
f01235 29503229867851776
f09652 28402893606354944
f023530 26969920717717504
f02438 24954275385835520
f02775 22775421296705536
f02303 22405332554743808
f020330 22215323201568768
f025002 20703048036777984
f02520 19229358858174464
f022373 18493098384424960
f023205 18281957792153600
f022374 16631384680431616
f02626 16009267257540608
f02528 15770913752481792
f01272 14840177159569408
f023627 14533172897251328
f021479 13889855515787264
f023626 11732785500782592
f021525 11384480832946176
f03176 11237489872207872
f049911 11198182331514880
f024563 10541567731302400
f02731 10493498457325568
f02614 10378908729868288
f020331 10298163344703488
f01012 10132171448647680
f021547 9920481100562432
f024137 9653986969780224
f030347 9158966219112448
f02416 9059735294705664
f053229 8591343341273088
f039992 8548015711191040
f02767 8537570350727168
f07830 8524273131978752
f061051 8393603046965248
f016398 8241423765733376
f02425 7994514685820928
f01231 7790830156775424
f020522 7600305407524864
f045756 7579311607382016
f023651 7278801335615488
f060805 6691421608214528
f021536 6686095848767488
f01475 6533229372768256
f015932 6421835100979200
f066102 5843698143199232
f040665 5517452427395072
f02838 5466737453563904
f02514 5443029234089984
f047857 5401522670141440
f035364 5326927678144512
f020742 5138189635289088
f09002 4919215022669824
f05316 4859257279217664
f014386 4748481482719232
f020618 4748240964550656
f010253 4564141486374912
f05315 4458863248015360
f018782 4318125759660032
f010056 4307439881027584
f010241 4245901589610496
f05317 4188452107059200
f018784 4135366311280640
f020452 4093138192826368
f02420 4019539633242112
f029585 3999129948651520
f03273 3989818459553792
f014251 3981812640514048
f018785 3956042836738048
f07850 3938107053309952
f01800 3896359971192832
f01241 3847637862187008
f062619 3823482966114304
f022361 3792215604199424
f01155 3783556950130688
f03274 3749197211762688
f014699 3676835602759680
f02503 3663813261918208
f023825 3641685590409216
f03144 3612892129656832
f034707 3612239294627840
f03275 3601347257565184
f018781 3586881807712256
f047843 3570973248847872
f018783 3500432705978368
f02500 3477652199440384
f018780 3458616904384512
f024972 3344714371694592
f02622 3308052530855936
f024483 3289395192922112
f02501 3218339253977088
f02623 3163638550495232
f02399 3046712360828928
f020604 2983524801970176
f061503 2757540802723840
f02490 2716721433542656
f08383 2652537442271232
f014569 2642607477882880
f023200 2559319472078848
f065881 2479020763512832
f03367 2389513645064192
f02301 2356871893614592
f034548 2338008397250560
f070932 2336393489547264
f079719 2303511219929088
f023882 2278325531705344
f034545 2248879235923968
f023662 2227026442321920
f024511 2212664071684096
f09693 2211805078224896
f010202 2198439139999744
f034544 2197923743924224
f09696 2190330241744896
f017242 2186825548431360
